연번,시도,시군구,시군구,주소,기관명,대표전화,종별구분,설립구분,행정입원,폐쇄병상,개방병상,입원병상운영_야간공휴일,응급입원,낮병동운영,상급종합병원여부
452,서울,서초구,,신반포로 325 반포빌딩,이정신건강의학과의원,02-518-5170,6. 의원,4. 개인,,,,,,,
453,서울,서초구,,서초대로 266,이철정신건강의학과의원,02-3486-1155,6. 의원,4. 개인,,,,,,,
454,서울,서초구,,반포대로 291,이해깊은 정신건강의학과의원,02-592-5240,6. 의원,4. 개인,,,,,,,
455,서울,서초구,,강남대로 449-3 보보빌딩,있는그대로정신건강의학과,02-6952-2508,6. 의원,4. 개인,,,,,,,
456,서울,서초구,,남부순환로 2652(양재동 2-37) 대명빌딩,정희진 정신건강의학과,02-578-1714,6. 의원,4. 개인,,,,,,,
457,서울,서초구,,잠원로 24,최명기정신건강의학과,02-6207-3377,6. 의원,4. 개인,,,,,,,
458,서울,서초구,,서초중앙로 120,최병호신경정신과의원,02-522-8404,6. 의원,4. 개인,,,,,,,
459,서울,서초구,,강남대로 53길 7,최신경정신과의원,02-2267-3970,6. 의원,4. 개인,,,,,,,
460,서울,서초구,,남부순환로 350길 4,최종배정신건강의학과의원,02-574-8883,6. 의원,4. 개인,,,,,,,
461,서울,서초구,,동작대로 120,하늘빛정신건강의학과의원,02-3478-8786,6. 의원,4. 개인,,,,,,,
462,서울,서초구,,서초중앙로 145,행복한아이정신건강의학과의원,02-537-3600,6. 의원,4. 개인,,,,,,,
463,서울,서초구,,강남대로 605,휴먼마인드정신건강의학과,02-542-2502,6. 의원,4. 개인,,,,,,,
464,서울,성동구,,왕십리로 320 w에비뉴타워,권희정정신건강의학과,02-2299-8228,6. 의원,4. 개인,,,,,,,
465,서울,성동구,,왕십리로 410 센트라스상가 L동,김용호정신건강의학과,02-2291-4002,6. 의원,4. 개인,,,,,,,
466,서울,성동구,,왕십리로 339,나눔정신건강의학과,02-2292-2555,6. 의원,4. 개인,,,,,,,
467,서울,성동구,,성수이로 113 제강빌딩,동심정신건강의학과,02-469-7373,6. 의원,4. 개인,,,,,,,
468,서울,성동구,,아차산로 126,마음건축정신건강의학과,02-498-7542,6. 의원,4. 개인,,,,,,,
469,서울,성동구,,천호대로 308 인암빌딩 3층,마음뷰정신건강의학과,02-2213-7575,6. 의원,4. 개인,,,,,,,
470,서울,성동구,,왕십리로 350,삼성공감정신건강의학과 왕십리점,02-2299-7750,6. 의원,4. 개인,,,,,,,
471,서울,성동구,,아차산로 49,서울나아가는 정신건강의학과,02-6953-0706,6. 의원,4. 개인,,,,,,,
472,서울,성동구,,뚝섬로 321-1,서울대니엘정신건강의학과,02-462-7575,6. 의원,4. 개인,,,,,,,
473,서울,성동구,,아차산로 41,서울숲봄정신건강의학과,02-6954-7503,6. 의원,4. 개인,,,,,,,
474,서울,성동구,,아차산로 113,서울알파정신건강의학과,02-499-0787,6. 의원,4. 개인,,,,,,,
475,서울,성동구,,독서당로 302 대도빌딩,성모온정신건강의학과,02-2295-3555,6. 의원,4. 개인,,,,,,,
476,서울,성동구,,아차산로 82 정명빌딩,소정성신건강의학과,02-469-0900,6. 의원,4. 개인,,,,,,,
477,서울,성동구,,왕십리로 294-2 대도빌딩,엘림신경정신과,02-2299-1942,6. 의원,4. 개인,,,,,,,
478,서울,성동구,,행당로 79 대림상가,이재진정신건강의학과,02-2295-2544,6. 의원,4. 개인,,,,,,,
479,서울,성동구,,왕십리로 315,프렌드정신건강의학과,02-2281-8593,6. 의원,4. 개인,,,,,,,
480,서울,성동구,,왕십리로 222-1,한양대학교병원,02-2290-8114,1. 종합병원,3. 법인,,,,O,O,,O
481,서울,성동구,,왕십리로 309 왕십리역이스타빌,해민정신건강의학과,02-2292-1535,6. 의원,4. 개인,,,,,,,
482,서울,성동구,,독서당로 202,힐스정신건강의학과,02-2281-1101,6. 의원,4. 개인,,,,,,,
483,서울,성북구,,길음로 11,길음삼성정신건강의학과의원,02-943-7575,6. 의원,4. 개인,,,,,,,
484,서울,성북구,,화랑로 248,나음정신건강의학과의원,02-491-8882,6. 의원,4. 개인,,,,,,,
485,서울,성북구,,아리랑로 9,다정해정신건강의학과의원,02-924-7979,6. 의원,4. 개인,,,,,,,
486,서울,성북구,,동소문로 3,동호의원,02-763-2772,6. 의원,4. 개인,,,,,,,
487,서울,성북구,,동소문로 125 골든타워,무지개정신건강의학과의원,02-928-8899,6. 의원,4. 개인,,,,,,,
488,서울,성북구,,동소문로 92 강윤빌딩,베드로신경정신과의원,02-921-8846,6. 의원,4. 개인,,,,,,,
489,서울,성북구,,월계로 4,서울탑정신건강의학과의원,02-911-9700,6. 의원,4. 개인,,,,,,,
490,서울,성북구,,길음로 11,서울힐링정신건강의학과,02-943-0011,6. 의원,4. 개인,,,,,,,
491,서울,성북구,,동소문로 98,성북아이정신건강의학과의원,02-922-7582,6. 의원,4. 개인,,,,,,,
492,서울,성북구,,동소문로 46길 10,성북우리아이들병원,02-912-0100,5. 병원,3. 법인,,,,,,,
493,서울,성북구,,도봉로 3. 장안빌딩,아린정신건강의학과의원,02-989-7907,6. 의원,4. 개인,,,,,,,
494,서울,성북구,,보문로 183 논현빌딩,예온정신건강의학과의원,02-6954-7560,6. 의원,4. 개인,,,,,,,
495,서울,성북구,,고려대로 24길 20,이민수정신건강의학과의원,02-925-6900,6. 의원,4. 개인,,,,,,,
496,서울,성북구,,보국문로 43 야원빌딩,정릉손정신건강의학과의원,02-918-7582,6. 의원,4. 개인,,,,,,,
497,서울,성북구,,동소문로 12 청암빌딩,정성철정신건강의학과,02-3675-7790,6. 의원,4. 개인,,,,,,,
498,서울,성북구,,동소문로 97,하나정신건강의학과의원,02-922-3075,6. 의원,4. 개인,,,,,,,
499,서울,성북구,,고려대로 73,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),02-920-5114,1. 종합병원,3. 법인,,,,,,,O
500,서울,성북구,,고려대로 24길11,휴앤힐정신건강의학과,02-922-1183,6. 의원,4. 개인,,,,,,,
501,서울,송파구,,송이로 123,경찰병원,02-3400-1114,1. 종합병원,1. 국립,,,,,,,
502,서울,송파구,,송파대로 409.,공감정신건강의학과,02-412-1105,6. 의원,4. 개인,,,,,,,
503,서울,송파구,,송파대로 201 테라타워 B동,괜찮아정신건강의학과,02-526-8488,6. 의원,4. 개인,,,,,,,
504,서울,송파구,,중대로 80,김선미신경정신과,02-408-0711,6. 의원,4. 개인,,,,,,,
505,서울,송파구,,올림픽로 116 메디시티,다미신경정신과,02-419-0152,6. 의원,4. 개인,,,,,,,
506,서울,송파구,,올림픽로 35가길 9 푸르지오 월드마크,다온정신건강의학과의원,02-3432-1027,6. 의원,4. 개인,,,,,,,
507,서울,송파구,,송이로 200,닥터진힐링정신건강의학과,02-402-0667,6. 의원,4. 개인,,,,,,,
508,서울,송파구,,올림픽로 119,디딤정신과의원,02-6289-1133,6. 의원,4. 개인,,,,,,,
509,서울,송파구,,송파대로 404-1 여온빌딩,마음정신건강의학과,02-412-6617,6. 의원,4. 개인,,,,,,,
510,서울,송파구,,오금로 11길 7 제이타워빌딩,마음호수정신건강의학과,02-417-1175,6. 의원,4. 개인,,,,,,,
511,서울,송파구,,올림픽로 100 효창빌딩,봄정신건강의학과,02-419-1800,6. 의원,4. 개인,,,,,,,
512,서울,송파구,,송파대로 380,삼성아이정신과,02-425-4600,6. 의원,4. 개인,,,,,,,
513,서울,송파구,,중대로 101 동부썬빈,서울더나은정신건강의학과의원,02-401-2012,6. 의원,4. 개인,,,,,,,
514,서울,송파구,,올림픽로 106 상록빌딩,서울뜰정신건강의학과의원,02-2202-0675,6. 의원,4. 개인,,,,,,,
515,서울,송파구,,올림픽로 43길 88,서울아산병원,1688-7575,1. 종합병원,3. 법인,,,,O,O,,O
516,서울,송파구,,법원로 114,서울으뜸정신건강의학과의원,02-2283-1570,6. 의원,4. 개인,,,,,,,
517,서울,송파구,,올림픽로 114 서경빌딩,서울탑정신건강의학과의원,02-412-8275,6. 의원,4. 개인,,,,,,,
518,서울,송파구,,오금로 420,성모채움정신건강의학과,02-409-5575,6. 의원,4. 개인,,,,,,,
519,서울,송파구,,양산로 42,성모행복정신건강의학과,02-6930-5777,6. 의원,4. 개인,,,,,,,
520,서울,송파구,,마천로 53,송파드림 정신건강의학과의원,02-2043-7737,6. 의원,4. 개인,,,,,,,
521,서울,송파구,,오금로 513,송파미소병원,02-1661-9299,2. 정신병원,4. 개인,O,,,,O,O,
522,서울,송파구,,올림픽로 145,송파삼성정신건강의학과,02-2203-7582,6. 의원,4. 개인,,,,,,,
523,서울,송파구,,송파대로 392,송파서울정신과의원,02-415-8468,6. 의원,4. 개인,,,,,,,
524,서울,송파구,,송파대로 167,송파성모정신건강의학과의원,02-2054-8977,6. 의원,4. 개인,,,,,,,
525,서울,송파구,,백제고분로 358 우전빌딩,순마음의원,02-425-1375,6. 의원,4. 개인,,,,,,,
526,서울,송파구,,올림픽로 378,아이나래정신과,02-415-4266,6. 의원,4. 개인,,,,,,,
527,서울,송파구,,송파대로 404,연세나루정신건강의학과의원,02-412-3370,6. 의원,4. 개인,,,,,,,
528,서울,송파구,,송파대로 422,연세늘봄정신건강의학과,02-417-3331,6. 의원,4. 개인,,,,,,,
529,서울,송파구,,올림픽로 108,연세소울정신건강의학과,02-418-7522,6. 의원,4. 개인,,,,,,,
530,서울,송파구,,송파대로 345,온가족정신건강의학과,02-449-7790,6. 의원,4. 개인,,,,,,,
531,서울,송파구,,올림픽로 119 파인애플상가,온마음 정신건강의학과 의원,02-419-0119,6. 의원,4. 개인,,,,,,,
532,서울,송파구,,석촌호수로 58 동신빌딩2층1호,온유정신건강의학과의원,02-416-0175,6. 의원,4. 개인,,,,,,,
533,서울,송파구,,법원로 114 C동,우리공감정신건강의학과의원,02-475-7557,6. 의원,4. 개인,,,,,,,
534,서울,송파구,,송파대로 441,위드정신건강의학과,02-424-7579,6. 의원,4. 개인,,,,,,,
535,서울,송파구,,위례광장로 193,위례해솔정신건강의학과,02-6959-7707,6. 의원,4. 개인,,,,,,,
536,서울,송파구,,백제고분로 365,이룸정신건강의학과,02-452-1212,6. 의원,4. 개인,,,,,,,
537,서울,송파구,,석촌호수로 61,이정신건강의학과,02-425-2267,6. 의원,4. 개인,,,,,,,
538,서울,송파구,,올림픽로 102,이지브레인송파 정신건강의학과의원,02-2202-1075,6. 의원,4. 개인,,,,,,,
539,서울,송파구,,마천로 264,인성정신건강의학과,02-430-6251,6. 의원,4. 개인,,,,,,,
540,서울,송파구,,올림픽로 336,잠실괜찮아정신건강의학과,02-418-7725,6. 의원,4. 개인,,,,,,,
541,서울,송파구,,올림픽로 212,잠실삼성정신건강의학과,02-423-7466,6. 의원,4. 개인,,,,,,,
542,서울,송파구,,올림픽로 289 잠실시그마타워,잠실숲정신건강의학과의원,02-425-0405,6. 의원,4. 개인,,,,,,,
543,서울,송파구,,올림픽로 293-19,잠실아이정신건강의학과,02-2202-7512,6. 의원,4. 개인,,,,,,,
544,서울,송파구,,석촌호수로 61,잠실연정신건강의학과,02-6952-3203,6. 의원,4. 개인,,,,,,,
545,서울,송파구,,송파대로 558,잠실하늘정신건강의학과의원,02-413-1333,6. 의원,4. 개인,,,,,,,
546,서울,송파구,,중대로 68,전현수 정신건강의학과,02-400-2911,6. 의원,4. 개인,,,,,,,
547,서울,송파구,,오금로 508,정마음정신건강의학과,02-2038-8291,6. 의원,4. 개인,,,,,,,
548,서울,송파구,,올림픽로 116-1,지음정신건강의학과의원,02-421-1136,6. 의원,4. 개인,,,,,,,
549,서울,송파구,,법원로 114,진솔정신건강의학과,02-6951-5117,6. 의원,4. 개인,,,,,,,
550,서울,송파구,,중대로 97,타임정신건강의학과,02-404-0321,6. 의원,4. 개인,,,,,,,
551,서울,송파구,,송이로 144,하늘빛사랑정신건강의학과,02-408-8359,6. 의원,4. 개인,,,,,,,
552,서울,송파구,,올림픽로 116-1,한음한방신경정신과한의원,02-6925-1075,7. 한의원,4. 개인,,,,,,,
553,서울,송파구,,삼전로 84,해솔정신건강의학과의원,02-414-7755,6. 의원,4. 개인,,,,,,,
554,서울,송파구,,올림픽로 35길 112,행복나루정신건강의학과,02-423-4477,6. 의원,4. 개인,,,,,,,
555,서울,양천구,,목동동로 293,41연세빛정신건강의학과의원,02-6010-7582,6. 의원,4. 개인,,,,,,,
556,서울,양천구,,목동로 211,김신경정신과의원,02-2608-1070,6. 의원,4. 개인,,,,,,,
557,서울,양천구,,신목로 86,나인마음의원,02-2655-0729,6. 의원,4. 개인,,,,,,,
558,서울,양천구,,오목로 345 슬로우 스퀘어,남신경정신과의원,02-2648-3548,6. 의원,4. 개인,,,,,,,
559,서울,양천구,,목동동로 268 신한빌딩,마음의뜰정신건강의학과의원,02-2643-6435,6. 의원,4. 개인,,,,,,,
560,서울,양천구,,중앙로 253,마음중심의원,02-2691-8582,6. 의원,4. 개인,,,,,,,
561,서울,양천구,,신월로 179,마음휴정신건강의학과의원,02-2601-0179,6. 의원,4. 개인,,,,,,,
562,서울,양천구,,목동로 177,목동필정신건강의학과의원,02-2696-8114,6. 의원,4. 개인,,,,,,,
563,서울,양천구,,목동 중앙북로7가길 61,서울봄정신건강의학과의원,02-2038-8075,6. 의원,4. 개인,,,,,,,
564,서울,양천구,,오목로 300,서울연정신건강의학과,02-2643-0006,6. 의원,4. 개인,,,,,,,
565,서울,양천구,,오목로 203,송주연정신건강의학과의원,02-2605-1005,6. 의원,4. 개인,,,,,,,
566,서울,양천구,,오목로 322 보성빌딩,연세누리정신건강의학과의원,02-2647-7579,6. 의원,4. 개인,,,,,,,
567,서울,양천구,,안양천로 1071,이화여자대학교의과대학부속목동병원,02-2650-2789,1. 종합병원,3. 법인,,,,,,,O
568,서울,양천구,,중앙로 282 에이스빌딩,한마음정신건강의학과,02-2696-0074,6. 의원,4. 개인,,,,,,,
569,서울,양천구,,목동서로 256,한별정신건강의하과의원,02-2062-1119,6. 의원,4. 개인,,,,,,,
570,서울,양천구,,오목로 345 슬로우 스퀘어 414,현정신건강의학과의원,02-2654-7582,6. 의원,4. 개인,,,,,,,
571,서울,영등포구,,당산로 222,가족사랑서울정신건강의학과의원,02-2068-7486,6. 의원,4. 개인,,,,,,,
572,서울,영등포구,,영중로 2길 1,같은마음정신건강의학과의원,02-2677-7582,6. 의원,4. 개인,,,,,,,
573,서울,영등포구,,양평로 20 TOWER020,그래정신건강의학과의원,02-2635-8277,6. 의원,4. 개인,,,,,,,
574,서울,영등포구,,여의나루로 53-1 대오빌딩,더여의도정신건강의학과의원,02-6289-1001,6. 의원,4. 개인,,,,,,,
575,서울,영등포구,,여의대방로 375,디에프정신건강의학과 여의도점,02-6279-8288,6. 의원,4. 개인,,,,,,,
576,서울,영등포구,,양평로 99 대명빌딩,라엘정신건강의학과,02-6909-9870,6. 의원,4. 개인,,,,,,,
577,서울,영등포구,,국제금융로 78,라임정신건강의학과의원,02-6105-7520,6. 의원,4. 개인,,,,,,,
578,서울,영등포구,,양평로 24,마인드봄정신건강의학과의원,02-2039-0123,6. 의원,4. 개인,,,,,,,
579,서울,영등포구,,선유로 63,마인드터치 정신건강의학과,02-6745-0010,6. 의원,4. 개인,,,,,,,
580,서울,영등포구,,국제금융로 6길 33,삼성마음안정신건강의학과의원,02-761-7511,6. 의원,4. 개인,,,,,,,
581,서울,영등포구,,국제금융로 2길 37,서울청안정신건강의학과,02-761-7588,6. 의원,4. 개인,,,,,,,
582,서울,영등포구,,영중로 51-1 닥터스빌딩,성모정신건강의학과,02-2678-6659,6. 의원,4. 개인,,,,,,,
583,서울,영등포구,,여의대방로 53길 22,성애병원,02-840-7132,1. 종합병원,3. 법인,,,,,,,
584,서울,영등포구,,의사당대로 1길 11,스위스정신건강의학과의원,02-780-7576,6. 의원,4. 개인,,,,,,,
585,서울,영등포구,,신길로 147 투란빌딩,아르케정신건강의학과,02-6953-7505,6. 의원,4. 개인,,,,,,,
586,서울,영등포구,,여의동로 3길 10,여의도봄정신건강의학과,02-785-5228,6. 의원,4. 개인,,,,,,,
587,서울,영등포구,,여의대방로 383,여의도삼성정신건강의학과,02-780-1593,6. 의원,4. 개인,,,,,,,
588,서울,영등포구,,여의나루로 42,여의도힐 정신건강의학과,02-785-7008,6. 의원,4. 개인,,,,,,,
589,서울,영등포구,,당산로 142-1,연세봄날정신건강의학과,02-3667-1338,6. 의원,4. 개인,,,,,,,
590,서울,영등포구,,의사당대로 108,연세온정신건강의학과의원,02-785-5678,6. 의원,4. 개인,,,,,,,
591,서울,영등포구,,여의나루로 81 한마루빌딩,연세포레스트정신건강의학과,02-782-7979,6. 의원,4. 개인,,,,,,,
592,서울,영등포구,,경인로 784,영등포서영정신건강의학과,02-2677-0902,6. 의원,4. 개인,,,,,,,
593,서울,영등포구,,영중로 45,오정신건강의학과,02-2634-5691,6. 의원,4. 개인,,,,,,,
594,서울,영등포구,,63로 36 리버타워,우영섭 박원명 정신건강의학과,02-6952-7571,6. 의원,4. 개인,,,,,,,
595,서울,영등포구,,영등포로 216(영등포동 3가),이상구신경정신과,02-2678-6355,6. 의원,4. 개인,,,,,,,
596,서울,영등포구,,양평로 22,일상정신건강의학과의원,02-3667-7515,6. 의원,4. 개인,,,,,,,
597,서울,영등포구,,영중로 46,전명숙신경정신과의원,02-2636-1044,6. 의원,4. 개인,,,,,,,
598,서울,영등포구,,당산로 133 서림빌딩,조맹제정신건강의학과,02-2678-8181,6. 의원,4. 개인,,,,,,,
599,서울,영등포구,,당산로 57,좋은사람정신건강의학과의원,02-2632-7582,6. 의원,4. 개인,,,,,,,
600,서울,영등포구,,63로 10,학교법인 가톨릭대학교 여의도성모병원,02-1661-7575,1. 종합병원,3. 법인,,,,,,,
601,서울,영등포구,,신길로 1,한림대학교 강남성심병원,1577-5587,1. 종합병원,3. 법인,,,,,,,
602,서울,영등포구,,버드나루로 7길 12,한림대학교한강성심병원,02-2639-5114,1. 종합병원,3. 법인,,,,,,,
603,서울,영등포구,,신길로 173,해상병원,02-844-6119,2. 정신병원,3. 법인,O,,,O,O,,
604,서울,용산구,,한남대로 21길 17 신화빌딩,노만희정신건강의학과의원,02-793-0945,6. 의원,4. 개인,,,,,,,
605,서울,용산구,,장문로 23,마인드카페정신건강의학과,비공개,6. 의원,4. 개인,,,,,,,
606,서울,용산구,,서빙고로 17 판매시설동,서울휴정신건강의학과,02-6402-1332,6. 의원,4. 개인,,,,,,,
607,서울,용산구,,대사관로 59,순천향대학교부속서울병원,02-709-9000,1. 종합병원,3. 법인,,,,,,,
608,서울,용산구,,한강대로 69 용산푸르지오써밋,오늘정신건강의학과,02-797-8272,6. 의원,4. 개인,,,,,,,
609,서울,용산구,,한강대로 95,윤혜리정신겅강의학과의원,02-2138-7588,6. 의원,4. 개인,,,,,,,
610,서울,용산구,,새창로 217,임상익 정신건강의학과,02-709-0702,6. 의원,4. 개인,,,,,,,
611,서울,용산구,,한강대로 259,정담정신건강의학과의원,02-6954-1313,6. 의원,4. 개인,,,,,,,
612,서울,용산구,,한강대로 297,지혜샘정신겅강의학과의원,02-3272-8275,6. 의원,4. 개인,,,,,,,
613,서울,은평구,,통일로 1021,가톨릭대학교 은평성모병원,1811-7755,1. 종합병원,3. 법인,,,,,,,
614,서울,은평구,,은평로 227,동민정신건강의학과,02-353-7575,6. 의원,3. 법인,,,,,,,
615,서울,은평구,,진관2로 19,마음그림정신건강의학과의원,02-6380-6167,6. 의원,4. 개인,,,,,,,
616,서울,은평구,,은평로 194,문화정신건강의학과의원,02-382-0885,6. 의원,4. 개인,,,,,,,
617,서울,은평구,,통일로 741,박정신건강의학과,02-385-2319,6. 의원,4. 개인,,,,,,,
618,서울,은평구,,통일로 840 범서빌딩,서울지음정신건강의학과,02-356-6212,6. 의원,4. 개인,,,,,,,
619,서울,은평구,,백련산로 90,서울특별시은평병원,02-300-8114,2. 정신병원,2. 공립,,,,,,O,
620,서울,은평구,,통일로 856,성모서울정신건강의학과,02-6956-7715,6. 의원,4. 개인,,,,,,,
621,서울,은평구,,통일로 746,성모열린정신건강의학과의원,02-356-8210,6. 의원,4. 개인,,,,,,,
622,서울,은평구,,통일로 857 동우빌딩,연세봄정신건강의학과,02-354-5511,6. 의원,4. 개인,,,,,,,
623,서울,은평구,,진관2로 15-46,연세숲정신건강의학과의원,02-352-1872,6. 의원,4. 개인,,,,,,,
624,서울,은평구,,통일로 863,이범정정신건강의학과의원,02-383-3155,6. 의원,4. 개인,,,,,,,
625,서울,은평구,,은평로 121 co메디컬빌딩,치유정신건강의학과의원,02-354-7611,6. 의원,4. 개인,,,,,,,
626,서울,은평구,,서오릉로 140 선진물산,편한마음정신과의원,02-359-0770,6. 의원,4. 개인,,,,,,,
627,서울,종로구,,새문안로 29 (평동),강북삼성병원,02-2001-2001,1. 종합병원,3. 법인,,,,,,,O
628,서울,종로구,,송월길 99,경희궁삼성정신건강의학과의원,02-737-5577,6. 의원,4. 개인,,,,,,,
629,서울,종로구,,종로 3길 34,광화문숲정신건강의학과의원,02-722-7977,6. 의원,4. 개인,,,,,,,
630,서울,종로구,,평창7길 90,김창윤정신건강의학과의원,02-794-3418,6. 의원,4. 개인,,,,,,,
631,서울,종로구,,경희궁길 36,김혜수정신건강의학과,02-737-0506,6. 의원,4. 개인,,,,,,,
632,서울,종로구,,북촌로 5길 64,동남정신과의원,02-363-0412,6. 의원,4. 개인,,,,,,,
633,서울,종로구,,종로 344,동묘뜰 정신건강의학과의원,02-2135-3542,6. 의원,4. 개인,,,,,,,
634,서울,종로구,,종로 407,떨림과울림정신건강의학과,02-929-2387,6. 의원,4. 개인,,,,,,,
635,서울,종로구,,새문안로 3길 15,라움정신건강의학과의원,02-722-7779,6. 의원,4. 개인,,,,,,,
636,서울,종로구,,세종대로 159 세광빌딩,마음공간정신과의원,02-723-6463,6. 의원,4. 개인,,,,,,,
637,서울,종로구,,대학로 144 (혜화동,명륜신경정신과의원,02-762-5815,6. 의원,4. 개인,,,,,,,
638,서울,종로구,,새문안로 5가길 3-1,박종철신경정신과의원,02-735-0987,6. 의원,4. 개인,,,,,,,
639,서울,종로구,,율곡로 47,북촌소담정신건강의학과의원,02-736-5500,6. 의원,4. 개인,,,,,,,
640,서울,종로구,,대학로 101,서울대학교병원,1588-5700,1. 종합병원,2. 공립,,,,O,O,O,O
641,서울,종로구,,새문안로 9 (평동),서울적십자병원,02-2002-8000,1. 종합병원,2. 공립,,,,,,,
642,서울,종로구,,효자로 7길 14,서촌정신건강의학과의원,02-730-7352,6. 의원,4. 개인,,,,,,,
643,서울,종로구,,종로 256,성원의원,02-743-0118,6. 의원,4. 개인,,,,,,,
644,서울,종로구,,인사동 5길 25,송신경정신과의원,02-734-5648,6. 의원,4. 개인,,,,,,,
645,서울,종로구,,새문안로 103-1,연세광화문정신건강의학과의원,02-735-0602,6. 의원,4. 개인,,,,,,,
646,서울,종로구,,삼봉로 57,연세늘정신건강의학과의원,02-723-7575,6. 의원,4. 개인,,,,,,,
647,서울,종로구,,창경궁로 266,연세반디 정신건강의학과의원,02-763-0118,6. 의원,4. 개인,,,,,,,
648,서울,종로구,,종로 335,연세정신건강의학과의원,02-765-9441,6. 의원,4. 개인,,,,,,,
649,서울,종로구,,종로 19,연세필정신건강의학과의원,02-723-9114,6. 의원,4. 개인,,,,,,,
650,서울,종로구,,종로 329-1,우행원신경정신과의원,02-742-0002,6. 의원,4. 개인,,,,,,,
651,서울,종로구,,새문안로 89,이지브레인광화문정신건강의학과의원,02-6952-1895,6. 의원,4. 개인,,,,,,,
652,서울,종로구,,혜화로 8,임계원정신건강의학과의원,02-742-4999,6. 의원,4. 개인,,,,,,,
653,서울,중구,,세종대로 67,강북삼성태평로의원,02-2001-8524,6. 의원,3. 법인,,,,,,,
654,서울,중구,,을지로 245,국립중앙의료원,02-2260-7114,1. 종합병원,3. 법인,,,,,,O,
655,서울,중구,,소공로 63,김경희건강한마음의원,02-310-5388,6. 의원,4. 개인,,,,,,,
656,서울,중구,,퇴계로 320 SW빌딩 3,뉴브레인의원,02-2265-5110,6. 의원,4. 개인,,,,,,,
657,서울,중구,,남대문로 9길 6,당신의 숲 정신건강의학과,02-2135-1898,6. 의원,4. 개인,,,,,,,
658,서울,중구,,남대문로 9길 40 센터플레이스,더정신건강의학과의원,02-6031-8985,6. 의원,4. 개인,,,,,,,
659,서울,중구,,동호로 179,드림정신건강의학과의원,02-2252-7365,6. 의원,4. 개인,,,,,,,
660,서울,중구,,다산로 137,맑은마음의원,02-2238-3680,6. 의원,4. 개인,,,,,,,
661,서울,중구,,서소문로 129 경서빌딩,민트정신건강의학과,02-3789-7359,6. 의원,4. 개인,,,,,,,
662,서울,중구,,을지로 196,박주형신경정신과의원,02-2275-5722,6. 의원,4. 개인,,,,,,,
663,서울,중구,,명동8길 45,백명기의원,02-775-9238,6. 의원,4. 개인,,,,,,,
664,서울,중구,,퇴계로 436-1,상록수정신과의원,02-2252-4657,6. 의원,4. 개인,,,,,,,
665,서울,중구,,세종대로 11 조광빌딩,서울센트럴정신건강의학과,02-779-7660,6. 의원,4. 개인,,,,,,,
666,서울,중구,,후암로 98 LG서울역빌딩,서울역마음정신건강의학과,0507-1333-6072,6. 의원,4. 개인,,,,,,,
667,서울,중구,,퇴계로 447 황학아크로타워,서울온정신건강의학과의원,02-6324-1002,6. 의원,4. 개인,,,,,,,
668,서울,중구,,삼일대로 358,서울을지로숲정신건강의학과,02-6233-7670,6. 의원,4. 개인,,,,,,,
669,서울,중구,,을지로 5길 26,성모랑정신건강의학과,02-6030-8540,6. 의원,4. 개인,,,,,,,
670,서울,중구,,동호로 180 대승빌딩 203호,수정신건강의학과의원,02-2038-7575,6. 의원,4. 개인,,,,,,,
671,서울,중구,,세종대로 74,시청역성모정신건강의학과의원,02-318-5330,6. 의원,4. 개인,,,,,,,
672,서울,중구,,무교로 13 휘닉스빌딩,시청하늘정신건강의학과의원,02-756-6322,6. 의원,4. 개인,,,,,,,
673,서울,중구,,소공로 35 남산롯데캐슬,양창순정신건강의학과,02-517-8202,6. 의원,4. 개인,,,,,,,
674,서울,중구,,남대문로 9길 51,연세웰정신건강의학과,02-3789-9888,6. 의원,4. 개인,,,,,,,
675,서울,중구,,다산로 245,한마루정신건강의학과의원,02-2234-5510,6. 의원,4. 개인,,,,,,,
676,서울,중랑구,,동일로 802,김상준정신건강의학과의원,02-434-9036,6. 의원,4. 개인,,,,,,,
677,서울,중랑구,,망우로 214 우도빌딩,내일정신건강의학과의원,02-435-2580,6. 의원,4. 개인,,,,,,,
678,서울,중랑구,,사가정로 49길 53,녹색병원,02-490-2000,1. 종합병원,3. 법인,,,,,,,
679,서울,중랑구,,망우로 30길3,마르지오의원,02-437-3100,6. 의원,4. 개인,,,,,,,
680,서울,중랑구,,사가정로 401,마음담은정신건강의학과의원,02-2038-3070,6. 의원,4. 개인,,,,,,,
681,서울,중랑구,,망우로 353 C-301,마인드닥터주니어정신건강의학과의원,02-432-9993,6. 의원,4. 개인,,,,,,,
682,서울,중랑구,,망우로 403,마인드웰병원,02-433-1195,2. 정신병원,4. 개인,O,,,O,O,,
683,서울,중랑구,,망우로 304,서울윤정신건강의학과의원,02-433-9400,6. 의원,4. 개인,,,,,,,
684,서울,중랑구,,양원역로 38,서울특별시 북부병원,02-2036-0200,5. 병원,2. 공립,,,,,,,
685,서울,중랑구,,신내로 156,서울특별시 서울의료원,02-2276-7000,1. 종합병원,2. 공립,O,,,,,,
686,서울,중랑구,,면목로 299,성모누리정신건강의학과의원,02-6952-5222,6. 의원,4. 개인,,,,,,,
687,서울,중랑구,,동일로 903,성모마음정신건강의학과의원,02-972-4300,6. 의원,4. 개인,,,,,,O,
